timestamp,macAddress,Posizione,RSSI
2024-07-03T16:08:17.222674,FF:FF:11:15:2D:C4,13,-92
2024-07-03T16:08:18.237043,FF:FF:11:15:2D:C4,13,-88
2024-07-03T16:08:20.532511,FF:FF:11:15:2D:C4,13,-68
2024-07-03T16:08:21.658672,FF:FF:11:15:2D:C4,13,-68
2024-07-03T16:08:22.844703,FF:FF:11:15:2D:C4,13,-72
2024-07-03T16:08:23.855196,FF:FF:11:15:2D:C4,13,-71
2024-07-03T16:08:34.052836,FF:FF:11:15:2D:C4,13,-69
2024-07-03T16:09:18.781801,FF:FF:11:15:2D:C4,13,-68
2024-07-03T16:09:19.928759,FF:FF:11:15:2D:C4,13,-61
2024-07-03T16:09:20.998101,FF:FF:11:15:2D:C4,13,-59
2024-07-03T16:09:22.117345,FF:FF:11:15:2D:C4,13,-68
2024-07-03T16:09:23.313053,FF:FF:11:15:2D:C4,13,-63
