Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0,Distance_B_Blu_FF_FF_11_10_14_A0,Distance_B_Verde_FF:FF:11:15:2D:C4,Distance_B_Nero_FF:FF:11:15:F5:9A
340.0,1.0,2.73,-63.0,-69.0,-63.0,2.907,2.982,1.097
341.0,1.1,0.83,-70.0,-68.0,-59.0,1.378,1.378,2.595
342.0,1.1,0.93,-70.0,-68.0,-64.0,1.44,1.44,2.504
343.0,1.1,1.03,-74.0,-76.0,-59.0,1.507,1.507,2.415
344.0,1.1,1.13,-67.0,-73.0,-58.0,1.577,1.577,2.326
345.0,1.1,1.23,-71.0,-73.0,-61.0,1.65,1.65,2.239
346.0,1.1,1.33,-70.0,-68.0,-56.0,1.726,1.726,2.152
347.0,1.1,1.43,-81.0,-65.0,-65.0,1.804,1.804,2.067
348.0,1.1,1.53,-66.0,-63.0,-63.0,1.884,1.884,1.983
349.0,1.1,1.63,-65.0,-64.0,-60.0,1.966,1.966,1.901
350.0,1.1,1.73,-72.0,-65.0,-61.0,2.05,2.05,1.82
351.0,1.1,1.83,-78.0,-67.0,-63.0,2.135,2.135,1.741
352.0,1.1,1.93,-72.0,-70.0,-62.0,2.221,2.221,1.665
353.0,1.1,2.03,-74.0,-65.0,-72.0,2.309,2.309,1.591
354.0,1.1,2.13,-59.0,-74.0,-64.0,2.397,2.397,1.521
355.0,1.1,2.23,-69.0,-64.0,-62.0,2.487,2.487,1.453
356.0,1.1,2.33,-67.0,-70.0,-64.0,2.577,2.577,1.39
357.0,1.1,2.43,-73.0,-67.0,-62.0,2.667,2.667,1.331
358.0,1.1,2.53,-62.0,-65.0,-66.0,2.759,2.759,1.278
359.0,1.1,2.63,-67.0,-69.0,-67.0,2.851,2.851,1.23
360.0,1.1,2.73,-59.0,-73.0,-64.0,2.943,2.943,1.188
361.0,1.2,0.83,-78.0,-71.0,-57.0,1.459,1.3,2.639
362.0,1.2,0.93,-71.0,-65.0,-61.0,1.518,1.366,2.55
363.0,1.2,1.03,-76.0,-61.0,-67.0,1.581,1.436,2.462
364.0,1.2,1.13,-60.0,-62.0,-69.0,1.648,1.509,2.375
365.0,1.2,1.23,-67.0,-60.0,-61.0,1.718,1.585,2.29
366.0,1.2,1.33,-66.0,-63.0,-71.0,1.791,1.664,2.205
367.0,1.2,1.43,-71.0,-64.0,-63.0,1.867,1.745,2.122
368.0,1.2,1.53,-81.0,-62.0,-62.0,1.944,1.828,2.04
369.0,1.2,1.63,-67.0,-63.0,-60.0,2.024,1.912,1.96
370.0,1.2,1.73,-73.0,-71.0,-61.0,2.105,1.998,1.882
371.0,1.2,1.83,-71.0,-68.0,-66.0,2.188,2.085,1.806
372.0,1.2,1.93,-68.0,-68.0,-75.0,2.273,2.174,1.733
373.0,1.2,2.03,-70.0,-67.0,-75.0,2.358,2.263,1.662
374.0,1.2,2.13,-66.0,-64.0,-68.0,2.445,2.353,1.595
375.0,1.2,2.23,-61.0,-65.0,-67.0,2.532,2.444,1.531
376.0,1.2,2.33,-62.0,-63.0,-70.0,2.621,2.536,1.471
377.0,1.2,2.43,-61.0,-67.0,-68.0,2.71,2.628,1.415
378.0,1.2,2.53,-66.0,-67.0,-69.0,2.8,2.72,1.365
379.0,1.2,2.63,-62.0,-65.0,-66.0,2.891,2.814,1.32
380.0,1.2,2.73,-66.0,-72.0,-65.0,2.982,2.907,1.282
381.0,1.3,0.83,-68.0,-63.0,-59.0,1.542,1.224,2.686
382.0,1.3,0.93,-73.0,-66.0,-59.0,1.598,1.294,2.599
383.0,1.3,1.03,-77.0,-62.0,-57.0,1.659,1.368,2.512
384.0,1.3,1.13,-68.0,-63.0,-63.0,1.722,1.445,2.427
385.0,1.3,1.23,-76.0,-62.0,-60.0,1.79,1.524,2.344
386.0,1.3,1.33,-70.0,-66.0,-63.0,1.86,1.606,2.261
387.0,1.3,1.43,-72.0,-67.0,-63.0,1.933,1.69,2.18
388.0,1.3,1.53,-79.0,-65.0,-64.0,2.008,1.775,2.101
389.0,1.3,1.63,-78.0,-63.0,-62.0,2.085,1.862,2.023
390.0,1.3,1.73,-73.0,-61.0,-60.0,2.164,1.95,1.947
391.0,1.3,1.83,-78.0,-59.0,-60.0,2.245,2.039,1.874
392.0,1.3,1.93,-81.0,-64.0,-65.0,2.327,2.13,1.803
393.0,1.3,2.03,-74.0,-70.0,-61.0,2.411,2.221,1.736
394.0,1.3,2.13,-65.0,-70.0,-66.0,2.495,2.312,1.671
395.0,1.3,2.23,-65.0,-77.0,-63.0,2.581,2.405,1.61
396.0,1.3,2.33,-68.0,-68.0,-61.0,2.668,2.498,1.553
397.0,1.3,2.43,-67.0,-65.0,-66.0,2.756,2.591,1.501
398.0,1.3,2.53,-62.0,-64.0,-68.0,2.844,2.685,1.453
399.0,1.3,2.63,-58.0,-68.0,-66.0,2.934,2.78,1.412
400.0,1.3,2.73,-62.0,-71.0,-63.0,3.024,2.875,1.376
401.0,1.4,0.83,-76.0,-71.0,-59.0,1.628,1.153,2.735
402.0,1.4,0.93,-75.0,-63.0,-63.0,1.681,1.227,2.65
403.0,1.4,1.03,-65.0,-61.0,-63.0,1.738,1.304,2.566
404.0,1.4,1.13,-72.0,-60.0,-63.0,1.799,1.385,2.482
405.0,1.4,1.23,-72.0,-63.0,-60.0,1.864,1.467,2.401
406.0,1.4,1.33,-73.0,-71.0,-61.0,1.931,1.552,2.32
407.0,1.4,1.43,-73.0,-66.0,-60.0,2.001,1.639,2.241
408.0,1.4,1.53,-72.0,-59.0,-60.0,2.074,1.727,2.164
409.0,1.4,1.63,-72.0,-60.0,-59.0,2.149,1.816,2.089
410.0,1.4,1.73,-70.0,-65.0,-61.0,2.226,1.906,2.016
411.0,1.4,1.83,-69.0,-62.0,-61.0,2.304,1.997,1.945
412.0,1.4,1.93,-72.0,-63.0,-65.0,2.384,2.089,1.877
413.0,1.4,2.03,-77.0,-65.0,-60.0,2.466,2.182,1.812
414.0,1.4,2.13,-67.0,-65.0,-60.0,2.549,2.275,1.75
415.0,1.4,2.23,-71.0,-62.0,-62.0,2.633,2.369,1.692
416.0,1.4,2.33,-62.0,-72.0,-65.0,2.718,2.464,1.638
417.0,1.4,2.43,-71.0,-64.0,-65.0,2.804,2.558,1.588
418.0,1.4,2.53,-63.0,-64.0,-67.0,2.892,2.653,1.544
419.0,1.4,2.63,-62.0,-70.0,-72.0,2.979,2.749,1.504
420.0,1.4,2.73,-66.0,-84.0,-67.0,3.068,2.845,1.471
421.0,1.5,0.83,-74.0,-64.0,-59.0,1.714,1.086,2.788
422.0,1.5,0.93,-69.0,-62.0,-56.0,1.765,1.164,2.704
423.0,1.5,1.03,-76.0,-65.0,-56.0,1.82,1.245,2.622
424.0,1.5,1.13,-77.0,-69.0,-59.0,1.878,1.329,2.54
425.0,1.5,1.23,-73.0,-61.0,-59.0,1.94,1.415,2.46
426.0,1.5,1.33,-78.0,-62.0,-57.0,2.005,1.503,2.382
427.0,1.5,1.43,-80.0,-79.0,-62.0,2.072,1.592,2.305
428.0,1.5,1.53,-85.0,-64.0,-57.0,2.143,1.683,2.23
429.0,1.5,1.63,-77.0,-65.0,-63.0,2.215,1.774,2.157
430.0,1.5,1.73,-69.0,-62.0,-62.0,2.29,1.866,2.086
431.0,1.5,1.83,-72.0,-69.0,-63.0,2.366,1.959,2.018
432.0,1.5,1.93,-73.0,-60.0,-62.0,2.444,2.053,1.953
433.0,1.5,2.03,-75.0,-61.0,-60.0,2.524,2.147,1.89
434.0,1.5,2.13,-70.0,-62.0,-60.0,2.605,2.242,1.831
435.0,1.5,2.23,-64.0,-70.0,-60.0,2.688,2.337,1.776
436.0,1.5,2.33,-69.0,-64.0,-69.0,2.771,2.433,1.724
437.0,1.5,2.43,-67.0,-64.0,-62.0,2.856,2.529,1.677
438.0,1.5,2.53,-63.0,-63.0,-66.0,2.941,2.625,1.635
439.0,1.5,2.63,-62.0,-60.0,-59.0,3.028,2.722,1.598
440.0,1.5,2.73,-55.0,-62.0,-58.0,3.115,2.818,1.566
441.0,1.6,0.83,-82.0,-76.0,-68.0,1.802,1.024,2.843
442.0,1.6,0.93,-70.0,-62.0,-63.0,1.851,1.107,2.761
443.0,1.6,1.03,-67.0,-60.0,-58.0,1.903,1.192,2.68
444.0,1.6,1.13,-76.0,-56.0,-60.0,1.959,1.279,2.6
445.0,1.6,1.23,-77.0,-56.0,-59.0,2.018,1.369,2.522
446.0,1.6,1.33,-74.0,-61.0,-60.0,2.081,1.459,2.446
447.0,1.6,1.43,-80.0,-61.0,-66.0,2.146,1.551,2.371
448.0,1.6,1.53,-77.0,-62.0,-61.0,2.214,1.643,2.298
449.0,1.6,1.63,-81.0,-60.0,-69.0,2.284,1.737,2.228
450.0,1.6,1.73,-79.0,-62.0,-60.0,2.356,1.831,2.159
451.0,1.6,1.83,-71.0,-79.0,-60.0,2.431,1.926,2.093
452.0,1.6,1.93,-81.0,-67.0,-59.0,2.507,2.021,2.03
453.0,1.6,2.03,-72.0,-63.0,-60.0,2.585,2.117,1.97
454.0,1.6,2.13,-66.0,-61.0,-64.0,2.664,2.213,1.914
455.0,1.6,2.23,-67.0,-59.0,-65.0,2.745,2.309,1.861
456.0,1.6,2.33,-66.0,-73.0,-68.0,2.826,2.406,1.812
457.0,1.6,2.43,-66.0,-67.0,-60.0,2.909,2.503,1.767
458.0,1.6,2.53,-63.0,-63.0,-63.0,2.993,2.6,1.727
459.0,1.6,2.63,-64.0,-58.0,-59.0,3.078,2.698,1.692
460.0,1.6,2.73,-60.0,-63.0,-74.0,3.164,2.795,1.662
461.0,1.7,0.83,-76.0,-56.0,-63.0,1.892,0.969,2.9
462.0,1.7,0.93,-77.0,-56.0,-71.0,1.938,1.056,2.82
463.0,1.7,1.03,-76.0,-56.0,-59.0,1.988,1.145,2.741
464.0,1.7,1.13,-70.0,-55.0,-68.0,2.041,1.236,2.663
465.0,1.7,1.23,-76.0,-55.0,-59.0,2.098,1.328,2.587
466.0,1.7,1.33,-76.0,-59.0,-59.0,2.158,1.421,2.512
467.0,1.7,1.43,-74.0,-66.0,-63.0,2.221,1.515,2.44
468.0,1.7,1.53,-71.0,-60.0,-61.0,2.287,1.61,2.369
469.0,1.7,1.63,-71.0,-63.0,-64.0,2.355,1.705,2.301
470.0,1.7,1.73,-75.0,-60.0,-62.0,2.425,1.801,2.234
471.0,1.7,1.83,-72.0,-64.0,-63.0,2.498,1.897,2.171
472.0,1.7,1.93,-67.0,-70.0,-65.0,2.572,1.994,2.11
473.0,1.7,2.03,-70.0,-61.0,-64.0,2.648,2.091,2.052
474.0,1.7,2.13,-65.0,-60.0,-66.0,2.725,2.188,1.998
475.0,1.7,2.23,-64.0,-61.0,-64.0,2.804,2.285,1.947
476.0,1.7,2.33,-66.0,-68.0,-60.0,2.884,2.383,1.901
477.0,1.7,2.43,-62.0,-86.0,-61.0,2.966,2.481,1.858
478.0,1.7,2.53,-63.0,-64.0,-61.0,3.048,2.579,1.82
479.0,1.7,2.63,-64.0,-60.0,-61.0,3.132,2.677,1.787
480.0,1.7,2.73,-67.0,-63.0,-62.0,3.216,2.775,1.759
481.0,1.8,0.83,-80.0,-57.0,-63.0,1.982,0.921,2.96
482.0,1.8,0.93,-73.0,-54.0,-64.0,2.026,1.012,2.881
483.0,1.8,1.03,-73.0,-55.0,-59.0,2.074,1.105,2.804
484.0,1.8,1.13,-77.0,-57.0,-63.0,2.125,1.199,2.728
485.0,1.8,1.23,-71.0,-60.0,-62.0,2.18,1.293,2.654
486.0,1.8,1.33,-80.0,-56.0,-59.0,2.238,1.389,2.581
487.0,1.8,1.43,-78.0,-70.0,-75.0,2.299,1.485,2.51
488.0,1.8,1.53,-64.0,-56.0,-64.0,2.362,1.581,2.442
489.0,1.8,1.63,-72.0,-59.0,-66.0,2.428,1.678,2.375
490.0,1.8,1.73,-71.0,-73.0,-67.0,2.497,1.776,2.311
491.0,1.8,1.83,-72.0,-67.0,-66.0,2.567,1.873,2.25
492.0,1.8,1.93,-66.0,-75.0,-64.0,2.639,1.971,2.191
493.0,1.8,2.03,-58.0,-61.0,-67.0,2.713,2.069,2.136
494.0,1.8,2.13,-65.0,-68.0,-65.0,2.789,2.167,2.084
495.0,1.8,2.23,-63.0,-62.0,-61.0,2.866,2.266,2.035
496.0,1.8,2.33,-77.0,-66.0,-67.0,2.944,2.364,1.991
497.0,1.8,2.43,-67.0,-60.0,-65.0,3.024,2.463,1.95
498.0,1.8,2.53,-67.0,-65.0,-64.0,3.105,2.561,1.914
499.0,1.8,2.63,-59.0,-64.0,-59.0,3.187,2.66,1.882
500.0,1.8,2.73,-64.0,-65.0,-65.0,3.27,2.759,1.855
501.0,1.9,0.83,-74.0,-56.0,-62.0,2.073,0.883,3.022
502.0,1.9,0.93,-71.0,-65.0,-63.0,2.115,0.977,2.945
503.0,1.9,1.03,-73.0,-57.0,-61.0,2.161,1.073,2.869
504.0,1.9,1.13,-75.0,-55.0,-65.0,2.211,1.169,2.795
505.0,1.9,1.23,-82.0,-59.0,-63.0,2.263,1.266,2.723
506.0,1.9,1.33,-65.0,-53.0,-62.0,2.319,1.363,2.652
507.0,1.9,1.43,-69.0,-60.0,-62.0,2.378,1.461,2.583
508.0,1.9,1.53,-73.0,-57.0,-64.0,2.439,1.559,2.516
509.0,1.9,1.63,-72.0,-64.0,-61.0,2.503,1.657,2.452
510.0,1.9,1.73,-72.0,-63.0,-62.0,2.57,1.756,2.39
511.0,1.9,1.83,-70.0,-73.0,-71.0,2.638,1.854,2.331
512.0,1.9,1.93,-66.0,-62.0,-63.0,2.708,1.953,2.274
513.0,1.9,2.03,-65.0,-62.0,-66.0,2.78,2.052,2.221
514.0,1.9,2.13,-79.0,-67.0,-65.0,2.854,2.151,2.171
515.0,1.9,2.23,-64.0,-64.0,-64.0,2.93,2.25,2.124
516.0,1.9,2.33,-66.0,-67.0,-62.0,3.006,2.349,2.081
517.0,1.9,2.43,-68.0,-63.0,-62.0,3.085,2.448,2.043
518.0,1.9,2.53,-63.0,-68.0,-60.0,3.164,2.548,2.008
519.0,1.9,2.63,-59.0,-74.0,-60.0,3.245,2.647,1.978
520.0,1.9,2.73,-62.0,-61.0,-61.0,3.326,2.746,1.953
521.0,2.0,0.83,-78.0,-54.0,-68.0,2.165,0.854,3.086
522.0,2.0,0.93,-65.0,-58.0,-72.0,2.206,0.951,3.01
523.0,2.0,1.03,-72.0,-55.0,-60.0,2.25,1.049,2.936
524.0,2.0,1.13,-80.0,-55.0,-64.0,2.297,1.148,2.864
525.0,2.0,1.23,-78.0,-63.0,-65.0,2.348,1.246,2.793
526.0,2.0,1.33,-72.0,-61.0,-63.0,2.402,1.345,2.724
527.0,2.0,1.43,-66.0,-60.0,-60.0,2.459,1.444,2.658
528.0,2.0,1.53,-80.0,-66.0,-65.0,2.518,1.543,2.593
529.0,2.0,1.63,-70.0,-62.0,-64.0,2.58,1.642,2.53
530.0,2.0,1.73,-73.0,-60.0,-64.0,2.644,1.742,2.47
531.0,2.0,1.83,-75.0,-61.0,-60.0,2.711,1.841,2.413
532.0,2.0,1.93,-67.0,-58.0,-63.0,2.779,1.94,2.358
533.0,2.0,2.03,-74.0,-63.0,-61.0,2.85,2.04,2.307
534.0,2.0,2.13,-75.0,-69.0,-65.0,2.922,2.139,2.259
535.0,2.0,2.23,-68.0,-66.0,-66.0,2.995,2.239,2.214
536.0,2.0,2.33,-70.0,-64.0,-67.0,3.071,2.339,2.173
537.0,2.0,2.43,-64.0,-62.0,-63.0,3.147,2.438,2.136
538.0,2.0,2.53,-62.0,-63.0,-62.0,3.225,2.538,2.103
539.0,2.0,2.63,-64.0,-70.0,-63.0,3.304,2.638,2.074
540.0,2.0,2.73,-61.0,-66.0,-63.0,3.384,2.737,2.05
541.0,2.1,0.83,-77.0,-54.0,-62.0,2.258,0.836,3.152
542.0,2.1,0.93,-76.0,-56.0,-62.0,2.297,0.935,3.078
543.0,2.1,1.03,-76.0,-57.0,-68.0,2.339,1.035,3.005
544.0,2.1,1.13,-74.0,-57.0,-69.0,2.385,1.134,2.935
545.0,2.1,1.23,-72.0,-58.0,-69.0,2.434,1.234,2.866
546.0,2.1,1.33,-76.0,-57.0,-64.0,2.486,1.334,2.799
547.0,2.1,1.43,-74.0,-60.0,-60.0,2.541,1.433,2.734
548.0,2.1,1.53,-79.0,-66.0,-62.0,2.598,1.533,2.671
549.0,2.1,1.63,-73.0,-56.0,-62.0,2.658,1.633,2.61
550.0,2.1,1.73,-70.0,-60.0,-67.0,2.721,1.733,2.552
551.0,2.1,1.83,-71.0,-68.0,-69.0,2.785,1.833,2.496
552.0,2.1,1.93,-66.0,-66.0,-67.0,2.852,1.933,2.444
553.0,2.1,2.03,-66.0,-60.0,-68.0,2.921,2.032,2.394
554.0,2.1,2.13,-73.0,-79.0,-72.0,2.991,2.132,2.348
555.0,2.1,2.23,-76.0,-72.0,-66.0,3.063,2.232,2.305
556.0,2.1,2.33,-66.0,-64.0,-72.0,3.137,2.332,2.266
557.0,2.1,2.43,-62.0,-60.0,-65.0,3.212,2.432,2.23
558.0,2.1,2.53,-64.0,-77.0,-68.0,3.288,2.532,2.198
559.0,2.1,2.63,-65.0,-66.0,-74.0,3.366,2.632,2.171
560.0,2.1,2.73,-69.0,-65.0,-66.0,3.444,2.732,2.148
561.0,2.2,0.83,-71.0,-56.0,-66.0,2.351,0.83,3.219
562.0,2.2,0.93,-76.0,-53.0,-70.0,2.388,0.93,3.147
563.0,2.2,1.03,-73.0,-55.0,-67.0,2.429,1.03,3.076
564.0,2.2,1.13,-77.0,-55.0,-63.0,2.473,1.13,3.007
565.0,2.2,1.23,-70.0,-55.0,-72.0,2.52,1.23,2.94
566.0,2.2,1.33,-80.0,-57.0,-70.0,2.571,1.33,2.874
567.0,2.2,1.43,-74.0,-70.0,-69.0,2.624,1.43,2.811
568.0,2.2,1.53,-71.0,-56.0,-63.0,2.68,1.53,2.75
569.0,2.2,1.63,-83.0,-57.0,-62.0,2.738,1.63,2.691
570.0,2.2,1.73,-73.0,-64.0,-64.0,2.799,1.73,2.635
571.0,2.2,1.83,-74.0,-62.0,-67.0,2.862,1.83,2.581
572.0,2.2,1.93,-77.0,-60.0,-69.0,2.927,1.93,2.53
573.0,2.2,2.03,-71.0,-60.0,-66.0,2.993,2.03,2.482
574.0,2.2,2.13,-65.0,-70.0,-70.0,3.062,2.13,2.438
575.0,2.2,2.23,-62.0,-68.0,-64.0,3.133,2.23,2.396
576.0,2.2,2.33,-62.0,-64.0,-69.0,3.205,2.33,2.358
577.0,2.2,2.43,-65.0,-63.0,-71.0,3.278,2.43,2.324
578.0,2.2,2.53,-64.0,-73.0,-67.0,3.353,2.53,2.294
579.0,2.2,2.63,-63.0,-65.0,-68.0,3.429,2.63,2.268
580.0,2.2,2.73,-63.0,-60.0,-73.0,3.506,2.73,2.246
