Position,x,y,FF:FF:11:15:F5:9A,FF:FF:11:15:2D:C4,FF:FF:11:10:14:A0,Distance_B_Blu_FF_FF_11_10_14_A0,Distance_B_Verde_FF:FF:11:15:2D:C4,Distance_B_Nero_FF:FF:11:15:F5:9A
77.0,-0.3,2.43,-79.0,-76.0,-69.0,2.448,3.486,0.808
78.0,-0.3,2.53,-72.0,-70.0,-61.0,2.548,3.557,0.716
79.0,-0.3,2.63,-75.0,-74.0,-69.0,2.647,3.629,0.626
80.0,-0.3,2.73,-73.0,-76.0,-64.0,2.746,3.702,0.541
81.0,-0.2,0.83,-73.0,-77.0,-57.0,0.854,2.539,2.358
82.0,-0.2,0.93,-77.0,-71.0,-67.0,0.951,2.574,2.259
83.0,-0.2,1.03,-72.0,-79.0,-63.0,1.049,2.612,2.159
84.0,-0.2,1.13,-80.0,-78.0,-58.0,1.148,2.653,2.06
85.0,-0.2,1.23,-88.0,-73.0,-59.0,1.246,2.697,1.96
86.0,-0.2,1.33,-72.0,-77.0,-61.0,1.345,2.744,1.861
87.0,-0.2,1.43,-76.0,-78.0,-61.0,1.444,2.794,1.761
88.0,-0.2,1.53,-79.0,-74.0,-65.0,1.543,2.846,1.662
89.0,-0.2,1.63,-82.0,-77.0,-63.0,1.642,2.901,1.563
90.0,-0.2,1.73,-82.0,-74.0,-62.0,1.742,2.959,1.464
91.0,-0.2,1.83,-79.0,-70.0,-63.0,1.841,3.018,1.365
92.0,-0.2,1.93,-70.0,-67.0,-63.0,1.94,3.08,1.266
93.0,-0.2,2.03,-68.0,-80.0,-65.0,2.04,3.143,1.167
94.0,-0.2,2.13,-71.0,-70.0,-65.0,2.139,3.209,1.069
95.0,-0.2,2.23,-74.0,-69.0,-66.0,2.239,3.276,0.971
96.0,-0.2,2.33,-71.0,-77.0,-70.0,2.339,3.345,0.873
97.0,-0.2,2.43,-77.0,-77.0,-71.0,2.438,3.415,0.776
98.0,-0.2,2.53,-78.0,-74.0,-66.0,2.538,3.487,0.68
99.0,-0.2,2.63,-82.0,-84.0,-69.0,2.638,3.56,0.585
100.0,-0.2,2.73,-69.0,-72.0,-69.0,2.737,3.635,0.492
101.0,-0.1,0.83,-69.0,-57.0,-64.0,0.836,2.445,2.352
102.0,-0.1,0.93,-84.0,-76.0,-59.0,0.935,2.481,2.252
103.0,-0.1,1.03,-83.0,-78.0,-58.0,1.035,2.52,2.152
104.0,-0.1,1.13,-70.0,-78.0,-62.0,1.134,2.563,2.052
105.0,-0.1,1.23,-78.0,-75.0,-64.0,1.234,2.608,1.953
106.0,-0.1,1.33,-74.0,-76.0,-64.0,1.334,2.657,1.853
107.0,-0.1,1.43,-76.0,-76.0,-68.0,1.433,2.708,1.753
108.0,-0.1,1.53,-79.0,-71.0,-71.0,1.533,2.762,1.653
109.0,-0.1,1.63,-72.0,-68.0,-66.0,1.633,2.819,1.553
110.0,-0.1,1.73,-82.0,-69.0,-65.0,1.733,2.878,1.453
111.0,-0.1,1.83,-80.0,-83.0,-67.0,1.833,2.939,1.354
112.0,-0.1,1.93,-73.0,-68.0,-68.0,1.933,3.002,1.254
113.0,-0.1,2.03,-78.0,-79.0,-68.0,2.032,3.068,1.154
114.0,-0.1,2.13,-72.0,-74.0,-70.0,2.132,3.135,1.055
115.0,-0.1,2.23,-77.0,-69.0,-74.0,2.232,3.204,0.955
116.0,-0.1,2.33,-81.0,-71.0,-69.0,2.332,3.274,0.856
117.0,-0.1,2.43,-71.0,-81.0,-66.0,2.432,3.346,0.757
118.0,-0.1,2.53,-67.0,-77.0,-72.0,2.532,3.419,0.658
119.0,-0.1,2.63,-65.0,-76.0,-70.0,2.632,3.494,0.559
120.0,-0.1,2.73,-62.0,-69.0,-67.0,2.732,3.57,0.461
121.0,0.0,0.83,-75.0,-83.0,-62.0,0.83,2.351,2.35
122.0,0.0,0.93,-80.0,-76.0,-61.0,0.93,2.388,2.25
123.0,0.0,1.03,-76.0,-66.0,-58.0,1.03,2.429,2.15
124.0,0.0,1.13,-71.0,-86.0,-56.0,1.13,2.473,2.05
125.0,0.0,1.23,-82.0,-77.0,-69.0,1.23,2.52,1.95
126.0,0.0,1.33,-75.0,-71.0,-61.0,1.33,2.571,1.85
127.0,0.0,1.43,-73.0,-79.0,-58.0,1.43,2.624,1.75
128.0,0.0,1.53,-75.0,-72.0,-68.0,1.53,2.68,1.65
129.0,0.0,1.63,-74.0,-69.0,-84.0,1.63,2.738,1.55
130.0,0.0,1.73,-72.0,-69.0,-62.0,1.73,2.799,1.45
131.0,0.0,1.83,-80.0,-68.0,-64.0,1.83,2.862,1.35
132.0,0.0,1.93,-80.0,-70.0,-67.0,1.93,2.927,1.25
133.0,0.0,2.03,-75.0,-72.0,-80.0,2.03,2.993,1.15
134.0,0.0,2.13,-82.0,-80.0,-76.0,2.13,3.062,1.05
135.0,0.0,2.23,-77.0,-70.0,-68.0,2.23,3.133,0.95
136.0,0.0,2.33,-69.0,-78.0,-77.0,2.33,3.205,0.85
137.0,0.0,2.43,-79.0,-79.0,-72.0,2.43,3.278,0.75
138.0,0.0,2.53,-80.0,-83.0,-69.0,2.53,3.353,0.65
139.0,0.0,2.63,-67.0,-76.0,-66.0,2.63,3.429,0.55
140.0,0.0,2.73,-69.0,-83.0,-73.0,2.73,3.506,0.45
141.0,0.1,0.83,-77.0,-76.0,-61.0,0.836,2.258,2.352
142.0,0.1,0.93,-74.0,-79.0,-62.0,0.935,2.297,2.252
143.0,0.1,1.03,-83.0,-80.0,-68.0,1.035,2.339,2.152
144.0,0.1,1.13,-63.0,-68.0,-58.0,1.134,2.385,2.052
145.0,0.1,1.23,-77.0,-77.0,-65.0,1.234,2.434,1.953
146.0,0.1,1.33,-81.0,-74.0,-62.0,1.334,2.486,1.853
147.0,0.1,1.43,-75.0,-73.0,-62.0,1.433,2.541,1.753
148.0,0.1,1.53,-75.0,-78.0,-64.0,1.533,2.598,1.653
149.0,0.1,1.63,-70.0,-70.0,-65.0,1.633,2.658,1.553
150.0,0.1,1.73,-74.0,-78.0,-65.0,1.733,2.721,1.453
151.0,0.1,1.83,-69.0,-65.0,-66.0,1.833,2.785,1.354
152.0,0.1,1.93,-69.0,-68.0,-71.0,1.933,2.852,1.254
153.0,0.1,2.03,-75.0,-67.0,-66.0,2.032,2.921,1.154
154.0,0.1,2.13,-66.0,-65.0,-68.0,2.132,2.991,1.055
155.0,0.1,2.23,-77.0,-74.0,-74.0,2.232,3.063,0.955
156.0,0.1,2.33,-70.0,-70.0,-74.0,2.332,3.137,0.856
157.0,0.1,2.43,-71.0,-76.0,-73.0,2.432,3.212,0.757
158.0,0.1,2.53,-66.0,-65.0,-71.0,2.532,3.288,0.658
159.0,0.1,2.63,-65.0,-68.0,-76.0,2.632,3.366,0.559
160.0,0.1,2.73,-63.0,-70.0,-64.0,2.732,3.444,0.461
161.0,0.2,0.83,-74.0,-74.0,-61.0,0.854,2.165,2.358
162.0,0.2,0.93,-72.0,-81.0,-59.0,0.951,2.206,2.259
163.0,0.2,1.03,-75.0,-80.0,-72.0,1.049,2.25,2.159
164.0,0.2,1.13,-77.0,-67.0,-62.0,1.148,2.297,2.06
165.0,0.2,1.23,-72.0,-77.0,-65.0,1.246,2.348,1.96
166.0,0.2,1.33,-73.0,-75.0,-60.0,1.345,2.402,1.861
167.0,0.2,1.43,-74.0,-76.0,-63.0,1.444,2.459,1.761
168.0,0.2,1.53,-77.0,-71.0,-65.0,1.543,2.518,1.662
169.0,0.2,1.63,-75.0,-69.0,-64.0,1.642,2.58,1.563
170.0,0.2,1.73,-80.0,-67.0,-72.0,1.742,2.644,1.464
171.0,0.2,1.83,-82.0,-80.0,-67.0,1.841,2.711,1.365
172.0,0.2,1.93,-73.0,-75.0,-67.0,1.94,2.779,1.266
173.0,0.2,2.03,-74.0,-78.0,-71.0,2.04,2.85,1.167
174.0,0.2,2.13,-67.0,-73.0,-72.0,2.139,2.922,1.069
175.0,0.2,2.23,-65.0,-71.0,-64.0,2.239,2.995,0.971
176.0,0.2,2.33,-65.0,-72.0,-66.0,2.339,3.071,0.873
177.0,0.2,2.43,-68.0,-68.0,-74.0,2.438,3.147,0.776
178.0,0.2,2.53,-67.0,-70.0,-69.0,2.538,3.225,0.68
179.0,0.2,2.63,-70.0,-71.0,-77.0,2.638,3.304,0.585
180.0,0.2,2.73,-75.0,-72.0,-72.0,2.737,3.384,0.492
181.0,0.3,0.83,-75.0,-64.0,-58.0,0.883,2.073,2.369
182.0,0.3,0.93,-73.0,-71.0,-57.0,0.977,2.115,2.27
183.0,0.3,1.03,-79.0,-69.0,-61.0,1.073,2.161,2.171
184.0,0.3,1.13,-76.0,-70.0,-60.0,1.169,2.211,2.072
185.0,0.3,1.23,-67.0,-69.0,-61.0,1.266,2.263,1.973
186.0,0.3,1.33,-70.0,-54.0,-55.0,1.363,2.319,1.874
187.0,0.3,1.43,-85.0,-54.0,-60.0,1.461,2.378,1.776
188.0,0.3,1.53,-70.0,-54.0,-58.0,1.559,2.439,1.677
189.0,0.3,1.63,-78.0,-76.0,-65.0,1.657,2.503,1.579
190.0,0.3,1.73,-72.0,-79.0,-70.0,1.756,2.57,1.481
191.0,0.3,1.83,-79.0,-71.0,-70.0,1.854,2.638,1.383
192.0,0.3,1.93,-72.0,-71.0,-72.0,1.953,2.708,1.285
193.0,0.3,2.03,-69.0,-66.0,-72.0,2.052,2.78,1.188
194.0,0.3,2.13,-74.0,-75.0,-64.0,2.151,2.854,1.092
195.0,0.3,2.23,-81.0,-71.0,-72.0,2.25,2.93,0.996
196.0,0.3,2.33,-75.0,-92.0,-78.0,2.349,3.006,0.901
197.0,0.3,2.43,-66.0,-73.0,-70.0,2.448,3.085,0.808
198.0,0.3,2.53,-68.0,-71.0,-72.0,2.548,3.164,0.716
199.0,0.3,2.63,-59.0,-54.0,-60.0,2.647,3.245,0.626
200.0,0.3,2.73,-59.0,-56.0,-59.0,2.746,3.326,0.541
201.0,0.4,0.83,-69.0,-68.0,-63.0,0.921,1.982,2.384
202.0,0.4,0.93,-86.0,-83.0,-62.0,1.012,2.026,2.285
203.0,0.4,1.03,-79.0,-73.0,-61.0,1.105,2.074,2.187
204.0,0.4,1.13,-74.0,-76.0,-56.0,1.199,2.125,2.089
205.0,0.4,1.23,-72.0,-77.0,-58.0,1.293,2.18,1.991
206.0,0.4,1.33,-81.0,-76.0,-58.0,1.389,2.238,1.893
207.0,0.4,1.43,-73.0,-71.0,-69.0,1.485,2.299,1.795
208.0,0.4,1.53,-74.0,-73.0,-62.0,1.581,2.362,1.698
209.0,0.4,1.63,-81.0,-64.0,-66.0,1.678,2.428,1.601
210.0,0.4,1.73,-77.0,-66.0,-62.0,1.776,2.497,1.504
211.0,0.4,1.83,-77.0,-77.0,-65.0,1.873,2.567,1.408
212.0,0.4,1.93,-67.0,-65.0,-62.0,1.971,2.639,1.312
213.0,0.4,2.03,-72.0,-72.0,-69.0,2.069,2.713,1.218
214.0,0.4,2.13,-80.0,-69.0,-66.0,2.167,2.789,1.124
215.0,0.4,2.23,-78.0,-77.0,-66.0,2.266,2.866,1.031
216.0,0.4,2.33,-73.0,-76.0,-75.0,2.364,2.944,0.939
217.0,0.4,2.43,-67.0,-69.0,-69.0,2.463,3.024,0.85
218.0,0.4,2.53,-74.0,-75.0,-70.0,2.561,3.105,0.763
219.0,0.4,2.63,-70.0,-69.0,-63.0,2.66,3.187,0.68
220.0,0.4,2.73,-70.0,-68.0,-64.0,2.759,3.27,0.602
221.0,0.5,0.83,-74.0,-70.0,-56.0,0.969,1.892,2.403
222.0,0.5,0.93,-74.0,-73.0,-56.0,1.056,1.938,2.305
223.0,0.5,1.03,-77.0,-76.0,-53.0,1.145,1.988,2.207
224.0,0.5,1.13,-82.0,-73.0,-56.0,1.236,2.041,2.11
225.0,0.5,1.23,-74.0,-75.0,-59.0,1.328,2.098,2.013
226.0,0.5,1.33,-68.0,-69.0,-59.0,1.421,2.158,1.916
227.0,0.5,1.43,-75.0,-72.0,-60.0,1.515,2.221,1.82
228.0,0.5,1.53,-71.0,-67.0,-64.0,1.61,2.287,1.724
229.0,0.5,1.63,-77.0,-63.0,-62.0,1.705,2.355,1.629
230.0,0.5,1.73,-76.0,-67.0,-61.0,1.801,2.425,1.534
231.0,0.5,1.83,-74.0,-66.0,-63.0,1.897,2.498,1.44
232.0,0.5,1.93,-77.0,-73.0,-61.0,1.994,2.572,1.346
233.0,0.5,2.03,-67.0,-70.0,-65.0,2.091,2.648,1.254
234.0,0.5,2.13,-72.0,-65.0,-70.0,2.188,2.725,1.163
235.0,0.5,2.23,-74.0,-68.0,-65.0,2.285,2.804,1.074
236.0,0.5,2.33,-68.0,-70.0,-63.0,2.383,2.884,0.986
237.0,0.5,2.43,-70.0,-84.0,-69.0,2.481,2.966,0.901
238.0,0.5,2.53,-68.0,-68.0,-67.0,2.579,3.048,0.82
239.0,0.5,2.63,-65.0,-68.0,-72.0,2.677,3.132,0.743
240.0,0.5,2.73,-69.0,-64.0,-67.0,2.775,3.216,0.673
241.0,0.6,0.83,-70.0,-68.0,-60.0,1.024,1.802,2.425
242.0,0.6,0.93,-81.0,-80.0,-59.0,1.107,1.851,2.329
242.0,0.6,1.03,-74.0,-69.0,-61.0,1.192,1.903,2.232
244.0,0.6,1.13,-74.0,-68.0,-58.0,1.279,1.959,2.136
245.0,0.6,1.23,-76.0,-70.0,-56.0,1.369,2.018,2.04
246.0,0.6,1.33,-72.0,-64.0,-58.0,1.459,2.081,1.945
247.0,0.6,1.43,-70.0,-67.0,-60.0,1.551,2.146,1.85
248.0,0.6,1.53,-75.0,-68.0,-58.0,1.643,2.214,1.756
249.0,0.6,1.63,-71.0,-74.0,-60.0,1.737,2.284,1.662
250.0,0.6,1.73,-71.0,-73.0,-63.0,1.831,2.356,1.569
251.0,0.6,1.83,-77.0,-75.0,-66.0,1.926,2.431,1.477
252.0,0.6,1.93,-68.0,-71.0,-61.0,2.021,2.507,1.387
253.0,0.6,2.03,-62.0,-67.0,-66.0,2.117,2.585,1.297
254.0,0.6,2.13,-70.0,-73.0,-62.0,2.213,2.664,1.209
255.0,0.6,2.23,-74.0,-67.0,-67.0,2.309,2.745,1.124
256.0,0.6,2.33,-66.0,-66.0,-70.0,2.406,2.826,1.04
257.0,0.6,2.43,-70.0,-69.0,-67.0,2.503,2.909,0.96
258.0,0.6,2.53,-66.0,-70.0,-64.0,2.6,2.993,0.885
259.0,0.6,2.63,-59.0,-64.0,-82.0,2.698,3.078,0.814
260.0,0.6,2.73,-61.0,-64.0,-67.0,2.795,3.164,0.75
260.0,0.7,0.83,-76.0,-79.0,-59.0,1.086,1.714,2.452
262.0,0.7,0.93,-72.0,-71.0,-60.0,1.164,1.765,2.356
263.0,0.7,1.03,-76.0,-73.0,-55.0,1.245,1.82,2.261
264.0,0.7,1.13,-85.0,-73.0,-57.0,1.329,1.878,2.166
265.0,0.7,1.23,-76.0,-67.0,-57.0,1.415,1.94,2.072
