timestamp,macAddress,Posizione,RSSI
2024-07-04T12:45:23.638865,FF:FF:11:15:F5:9A,21,-69
2024-07-04T12:45:24.749974,FF:FF:11:15:F5:9A,21,-68
2024-07-04T12:45:35.849186,FF:FF:11:15:F5:9A,21,-71
