timestamp,macAddress,Posizione,RSSI
2024-07-01T15:55:18.678935,FF:FF:11:10:14:A0,5,-78
2024-07-01T15:55:19.545604,FF:FF:11:10:14:A0,5,-76
2024-07-01T15:55:21.827820,FF:FF:11:10:14:A0,5,-66
2024-07-01T15:55:22.975396,FF:FF:11:10:14:A0,5,-70
2024-07-01T15:55:25.212835,FF:FF:11:10:14:A0,5,-63
2024-07-01T15:55:26.444576,FF:FF:11:10:14:A0,5,-70
2024-07-01T15:55:27.392723,FF:FF:11:10:14:A0,5,-78
2024-07-01T15:55:28.488832,FF:FF:11:10:14:A0,5,-74
2024-07-01T15:55:29.914475,FF:FF:11:10:14:A0,5,-64
2024-07-01T15:55:37.525824,FF:FF:11:10:14:A0,5,-59
