timestamp,macAddress,Posizione,RSSI
2024-06-27T17:04:15.157383,FF:FF:11:15:2D:C4,18,-71
2024-06-27T17:04:17.444514,FF:FF:11:15:2D:C4,18,-65
2024-06-27T17:04:24.327795,FF:FF:11:15:2D:C4,18,-65
2024-06-27T17:04:26.192327,FF:FF:11:15:2D:C4,18,-68
2024-06-27T17:04:28.387242,FF:FF:11:15:2D:C4,18,-71
2024-06-27T17:07:14.137251,FF:FF:11:15:2D:C4,18,-52
2024-06-27T17:07:15.315196,FF:FF:11:15:2D:C4,18,-58
2024-06-27T17:07:16.343503,FF:FF:11:15:2D:C4,18,-58
2024-06-27T17:07:17.465388,FF:FF:11:15:2D:C4,18,-67
2024-06-27T17:07:18.562040,FF:FF:11:15:2D:C4,18,-73
2024-06-27T17:07:19.814738,FF:FF:11:15:2D:C4,18,-66
2024-06-27T17:07:23.101735,FF:FF:11:15:2D:C4,18,-67
2024-06-27T17:07:26.453120,FF:FF:11:15:2D:C4,18,-67
